"entitles","enextracts","detitles","deextracts"
"Modelica","Modelica is an object-oriented, declarative, multi-domain modeling language for component-oriented modeling of complex systems, e.g., systems containing mechanical, electrical, electronic, hydraulic, thermal, control, electric power or process-oriented subcomponents. The free Modelica language is developed by the non-profit Modelica Association. The Modelica Association also develops the free Modelica Standard Library that contains about 1360 generic model components and 1280 functions in various domains, as of version 3.2.1.

","Modelica","Modelica ist eine objektorientierte Beschreibungssprache für physikalische Modelle, sie ist 1997 im Programmiersprachenstandard 1.0 erschienen. Ein in Modelica formuliertes, physikalisches Modell wird von einem Modelica-Translator in ein mathematisches Modell übersetzt und mittels eines Lösungsalgorithmus gelöst.
Es existieren verschiedene grafische Entwicklungsumgebungen für die Sprache. Die bekanntesten sind Dymola, SimulationX und Wolfram SystemModeler (früher MathModelica). Sie erlauben dem Benutzer die Entwicklung komplexer Simulationsmodelle mittels grafischer Symbole, die jeweils ein Objekt darstellen. Die Verbindung der Objekte erfolgt über Konnektoren, die auch ungerichtet sein dürfen. Diese Modellierungsart wurde später auch in MATLAB/Simulink zur physikalischen Modellierung aufgegriffen.
Modelica ist zur Beschreibung von fachbereichsübergreifenden Problemen in einem weiten Bereich von Wissensgebieten geeignet: Mechanik, Elektrotechnik und Elektronik, Thermodynamik, Hydraulik und Pneumatik, Regelungstechnik und Prozesstechnik.
Die Sprachdefinition und die Modelica-Standardbibliothek sind frei verfügbar und werden von der Modelica Association weiterentwickelt und gefördert. Aktuell ist der Sprachstandard 3.3."
"APL (programming language)","APL (named after the book A Programming Language) is a programming language developed in the 1960s by Kenneth E. Iverson. Its central datatype is the multidimensional array. It uses a large range of special graphic symbols to represent most operators, giving very concise code. It has been an important influence on the development of concept modeling, spreadsheets, functional programming, and computer math packages. It has also inspired several other programming languages. It is still used today for certain applications.","APL (Programmiersprache)","APL, abgekürzt für A Programming Language, ist eine üblicherweise interpretierte Programmiersprache, deren Syntax überwiegend aus Symbolen besteht. Sie wurde von Kenneth E. Iverson und seinen Kollegen bei IBM in den 1960er Jahren als algorithmische Notation (u. a. für den Mathematikunterricht) entwickelt."
"Fortran","Fortran (previously FORTRAN, derived from Formula Translating System) is a general-purpose, imperative programming language that is especially suited to numeric computation and scientific computing. Originally developed by IBM in the 1950s for scientific and engineering applications, Fortran came to dominate this area of programming early on and has been in continuous use for over half a century in computationally intensive areas such as numerical weather prediction, finite element analysis, computational fluid dynamics, computational physics and computational chemistry. It is one of the most popular languages in the area of high-performance computing and is the language used for programs that benchmark and rank the world's fastest supercomputers.
Fortran encompasses a lineage of versions, each of which evolved to add extensions to the language while usually retaining compatibility with previous versions. Successive versions have added support for structured programming and processing of character-based data (FORTRAN 77), array programming, modular programming and generic programming (Fortran 90), high performance Fortran (Fortran 95), object-oriented programming (Fortran 2003) and concurrent programming (Fortran 2008).","Fortran","Fortran ist eine prozedurale und in ihrer neuesten Version zusätzlich eine objektorientierte Programmiersprache, die insbesondere für numerische Berechnungen in Wissenschaft, Technik und Forschung eingesetzt wird. Der Name entstand aus FORmula TRANslation und wurde bis zur Version FORTRAN 77 mit Großbuchstaben geschrieben."
"Ruby (programming language)","Ruby is a dynamic, reflective, object-oriented, general-purpose programming language. It was designed and developed in the mid-1990s by Yukihiro ""Matz"" Matsumoto in Japan.
According to its authors, Ruby was influenced by Perl, Smalltalk, Eiffel, Ada, and Lisp. It supports multiple programming paradigms, including functional, object-oriented, and imperative. It also has a dynamic type system and automatic memory management.","Ruby (Programmiersprache)","Ruby (englisch für Rubin) ist eine höhere Programmiersprache, die Mitte der 1990er Jahre von dem Japaner Yukihiro Matsumoto entworfen wurde.
Ruby ist objektorientiert, unterstützt aber mehrere weitere Programmierparadigmen (unter anderem prozedurale und funktionale Programmierung sowie Nebenläufigkeit), bietet dynamische Typisierung, Reflexion und automatische Speicherbereinigung. Ein Programm in Ruby wird zur Laufzeit interpretiert. 2012 wurde die Ruby-Spezifikation als internationale Norm ISO/IEC 30170 standardisiert."
"Eibingen Abbey","Eibingen Abbey (in German Abtei St. Hildegard, full name Benedictine Abbey of St. Hildegard) is a community of Benedictine nuns in Eibingen near Rüdesheim in Hesse, Germany.
The original community was founded in 1165 by Hildegard von Bingen. This was the second community founded by her. It was dissolved at the beginning of the 19th century during the secularization of this part of Germany.
The present community was established by Charles, 6th Prince of Löwenstein-Wertheim-Rosenberg in 1904 and re-settled from St. Gabriel's Abbey, Bertholdstein. The nunnery belongs to the Beuronese Congregation within the Benedictine Confederation.
In 1941, the nuns were expelled by the Nazis; they were not able to return until 1945.
In 1988, the sisters founded Marienrode Priory at Hildesheim, which became independent of Eibingen in 1998.
The nuns work in the vineyard and in the craft workshops, besides undertaking the traditional duties of hospitality. They can be heard (but not seen) singing their regular services.
The abbey is a Rhine Gorge World Heritage Site. The church has been used for concerts of the Rheingau Musik Festival, such as a ""BachTrompetenGala"" with Edgar Krapp, organ.

","Abtei St. Hildegard (Rüdesheim am Rhein)","Die Abtei St. Hildegard ist eine Benediktinerinnen-Abtei in Eibingen (Rheingau) bei Rüdesheim im Bistum Limburg. Seit 2002 ist sie Teil des UNESCO-Welterbes Oberes Mittelrheintal."
"Classical Weimar (World Heritage Site)","Classical Weimar is a UNESCO World Heritage Site consisting of multiple structures related to Weimar Classicism located in and around the city of Weimar, Germany. The Site was inscribed on 2 December 1998. UNESCO cites both the artistic quality of the buildings and the fact that Weimar was a cultural centre of Europe during the eighteenth and early nineteenth centuries.","Klassisches Weimar","Klassisches Weimar ist seit dem 2. Dezember 1998 ein Eintrag des UNESCO-Welterbes, der elf verschiedene, zumeist „assoziative“ Denkmäler der Stadt Weimar umfasst, deren Wert sich aus der Verbindung von historischem Geschehen, baulicher Hülle und authentischer Ausstattung bildet."
"Bauhaus Dessau Foundation","The Bauhaus Dessau Foundation is a Foundation (nonprofit organization) under public law. It is a centre of research, teaching and experimental design. The Foundation in its current form was founded by the German Federal Government, the state of Saxony-Anhalt and the town Dessau in 1994. It is based in the historical Bauhaus Building in Dessau-Roßlau. The Foundation’s staff with about 60 employees includes architects, town planners, sociologists, cultural scientists, artists and art historians.","Stiftung Bauhaus Dessau","Die Stiftung Bauhaus Dessau ist eine Stiftung öffentlichen Rechts. Sie ist ein Ort der Forschung, Lehre und experimentellen Gestaltung. Die Stiftung wurde in ihrer heutigen Form 1994 von der Bundesregierung, dem Land Sachsen-Anhalt und der Stadt Dessau gegründet und hat ihren Sitz im historischen Bauhausgebäude in Dessau-Roßlau. Die Stiftung hat etwa 60 Mitarbeiter."
"Limes Germanicus","The Limes Germanicus (Latin for Germanic frontier) was a line of frontier (limes) fortifications that bounded the ancient Roman provinces of Germania Inferior, Germania Superior and Raetia, dividing the Roman Empire and the unsubdued Germanic tribes from the years 83 to about 260 AD. At its height, the limes stretched from the North Sea outlet of the Rhine to near Regensburg (Castra Regina on the Danube. Those two major rivers afforded natural protection from mass incursions into imperial territory, with the exception of a gap stretching roughly from Mogontiacum (Mainz) on the Rhine to Castra Regina (Regensburg) on the Danube.
The Limes Germanicus was divided into:
The Lower Germanic Limes, which extended from the North Sea at Katwijk in the Netherlands along the then main Lower Rhine branches (modern Oude Rijn, Leidse Rijn, Kromme Rijn, Nederrijn)
The Upper Germanic Limes started from the Rhine at Rheinbrohl (Neuwied (district)) across the Taunus mountains to the river Main (East of Hanau), then along the Main to Miltenberg, and from Osterburken (Neckar-Odenwald-Kreis) south to Lorch (in Ostalbkreis, Württemberg) in a nearly perfect straight line of more than 70 km;
The proper Rhaetian Limes extended east from Lorch to Eining (close to Kelheim) on the Danube.
The total length was 568 km (353 mi). It included at least 60 forts and 900 watchtowers. The potentially weakest, hence most heavily guarded part of the Limes was the aforementioned gap between the westward bend of the Rhine at modern-day Mainz and the main flow of the Danube at Regensburg. This 300-km wide land corridor between the two great rivers permitted movement of large groups of people without the need for water transport, hence the heavy concentration of forts and towers there, arranged in depth and in multiple layers along waterways, fords, roads, and hilltops.","Obergermanisch-Raetischer Limes#Der Limes heute","Der Obergermanisch-Raetische Limes (ORL) ist ein 550 km langer Abschnitt der ehemaligen Außengrenze des Römischen Reichs zwischen Rhein und Donau. Er erstreckt sich von Rheinbrohl bis zum Kastell Eining an der Donau. Der Obergermanisch-Raetische Limes ist ein Bodendenkmal und seit 2005 Weltkulturerbe der UNESCO."
"MATLAB","MATLAB (matrix laboratory) is a multi-paradigm numerical computing environment and fourth-generation programming language. Developed by MathWorks, MATLAB allows matrix manipulations, plotting of functions and data, implementation of algorithms, creation of user interfaces, and interfacing with programs written in other languages, including C, C++, Java, Fortran and Python.
Although MATLAB is intended primarily for numerical computing, an optional toolbox uses the MuPAD symbolic engine, allowing access to symbolic computing capabilities. An additional package, Simulink, adds graphical multi-domain simulation and Model-Based Design for dynamic and embedded systems.
In 2004, MATLAB had around one million users across industry and academia. MATLAB users come from various backgrounds of engineering, science, and economics. MATLAB is widely used in academic and research institutions as well as industrial enterprises.","Matlab","Matlab (Eigenschreibweise: MATLAB) ist eine kommerzielle Software des Unternehmens The MathWorks, Inc. zur Lösung mathematischer Probleme und zur grafischen Darstellung der Ergebnisse. Matlab ist primär für numerische Berechnungen mithilfe von Matrizen ausgelegt, woher sich auch der Name ableitet: MATrix LABoratory."
"Extensible Application Markup Language","Extensible Application Markup Language (XAML, /ˈzæməl/) is a declarative XML-based language developed by Microsoft that is used for initializing structured values and objects. It is available under Microsoft's Open Specification Promise. The acronym originally stood for Extensible Avalon Markup Language - Avalon being the code-name for Windows Presentation Foundation (WPF).
XAML is used extensively in .NET Framework 3.0 & .NET Framework 4.0 technologies, particularly Windows Presentation Foundation (WPF), Silverlight, Windows Workflow Foundation (WF) and Windows Runtime XAML Framework and Windows Store apps. In WPF, XAML forms a user interface markup language to define UI elements, data binding, eventing, and other features. In WF, workflows can be defined using XAML. XAML can also be used in Silverlight applications, Windows Phone apps and Windows Store apps.
XAML elements map directly to Common Language Runtime object instances, while XAML attributes map to Common Language Runtime properties and events on those objects. XAML files can be created and edited with visual design tools like Microsoft Expression Blend, Microsoft Visual Studio, and the hostable Windows Workflow Foundation visual designer. They can also be created and edited with a standard text editor, a code editor like XAMLPad, or a graphical editor like Vector Architect.
Anything that is created or implemented in XAML can be expressed using a more traditional .NET language, such as C# or Visual Basic.NET. However, a key aspect of the technology is the reduced complexity needed for tools to process XAML, because it is based on XML. Consequently, a variety of products are emerging, particularly in the WPF space, which create XAML-based applications. As XAML is simply based on XML, developers and designers are able to share and edit content freely amongst themselves without requiring compilation. Since it is strongly linked to the .NET Framework 3.0 technologies, the only fully compliant implementation at present is Microsoft's..","Extensible Application Markup Language","Vorlage:Infobox Dateiformat/Wartung/MagischeZahl fehltVorlage:Infobox Dateiformat/Wartung/Standard fehlt
Extensible Application Markup Language (XAML, ausgesprochen [ˈzæ:mɛl]) ist eine von Microsoft entwickelte allgemeine Beschreibungssprache für die Oberflächengestaltung von Anwendungen sowie zur Definition von Workflows in der Windows Workflow Foundation (WF). Zunächst wurde die neue deklarative Sprache für die Frameworks .NET 3.0 und .NET 3.5 in Windows Presentation Foundation (WPF) für WPF-Windows-Anwendungen entwickelt. In WF wird XAML verwendet, weil dort Workflows wiederum mit XAML definiert werden können. XAML dient auch in Silverlight-Anwendungen und unter Windows 8 in auf der Windows Runtime basierenden Windows-Store-Apps dem Aufbau der grafischen Benutzeroberfläche."
"Dresden Elbe Valley","The Dresden Elbe Valley is a former World Heritage Site in Dresden, Germany. The valley, extending for some 20 kilometres and passing through the Dresden Basin and the city of Dresden, is one of two cultural landscapes along the Central European river Elbe. The value of this landscape lies in the fact that it includes the urban area as well as natural river banks and slopes.

Points of interest of the Elbe Valley include Pillnitz with its castle and old village as well as the village of Loschwitz with Schloss Albrechtsberg, works of engineering such as the Blue Wonder bridge, the Standseilbahn Dresden and the Schwebebahn Dresden, and the historic center with the buildings of Brühl's Terrace, Semperoper and Katholische Hofkirche (the Roman Catholic Church of the former court). Parts of the area such as Blasewitz are historic suburbs of the city, while there are also industrial districts.
Plans to build the four-lane Waldschlösschen Bridge across the valley proved controversial. In 2006, the UNESCO World Heritage Committee placed the Dresden Elbe Valley on its list of World Heritage in Danger and threatened to remove it from the World Heritage List. According to the Committee's official website, the committee determined that ""plans to build a bridge across the Elbe would have such a serious impact on the integrity of property's landscape that it may no longer deserve to be on the World Heritage List,"" and therefore decided to place the Dresden Elbe Valley on the List of World Heritage Sites in Danger ""with a view to also consider, in a prudent manner, delisting the site from the World Heritage List in 2007 if the plans were carried through.""
Though the bridge was approved in a referendum in 2005, the city council decided on 20 July 2006 to stop the invitation to bid on contracts to build the bridge. However, after several court decisions the city was forced to begin building the bridge at the end of 2007 until further court hearings could be held in 2008.
In July 2008, the UNESCO World Heritage Committee decided to keep the Dresden Elbe Valley on the World Heritage List in the hope that the construction would be stopped and the integrity of the landscape restored. If not, the property would be deleted from the World Heritage List in 2009.
In June 2009 at a UNESCO meeting in Seville, the World Heritage Committee decided in a 14 to 5 vote with two abstentions to revoke the Dresden Elbe Valley's status as a World Heritage Site.","Kulturlandschaft Dresdner Elbtal","Als Kulturlandschaft Dresdner Elbtal werden bzw. wurden die elbnahen, für großstädtische Verhältnisse relativ dünn besiedelten Flächen des Elbtalkessels innerhalb der sächsischen Landeshauptstadt Dresden bezeichnet. Die Eingrenzung dieses Areals und die Erörterung seines kulturlandschaftlichen Charakters erfolgte im Rahmen des Antragsverfahrens zur Aufnahme in das UNESCO-Welterbe. In ihrer Begründung für die Verleihung des Titels würdigte die UNESCO neben den landschaftlichen und architektonischen Qualitäten des Elbtals auch „die Schätze der staatlichen Kunstsammlungen und die lebendigen Traditionen in Musik und bildender Kunst“.
Die 2004 erfolgte Aufnahme in das Weltkulturerbe wurde anlässlich der Übergabe der Ernennungsurkunde im Sommer 2005 feierlich begangen und war mit großen Erwartungen verbunden. Doch bereits ein Jahr darauf, im Juli 2006, wurde das Elbtal in die Rote Liste des gefährdeten Welterbes eingetragen, und nach weiteren drei Jahren, im Juni 2009, der Welterbetitel aberkannt, da die UNESCO die seit Ende 2007 im Bau befindliche Waldschlößchenbrücke als landschaftszerstörend ansieht. Der Verkehrszug Waldschlößchenbrücke überquert die geschützten Elbwiesen auf einer Strecke von knapp 800 m und zerteilt laut Gutachten „den zusammenhängenden Landschaftsraum des Elbbogens an der empfindlichsten Stelle“.
↑ ICOMOS-Gutachten: Dresden Elbe Valley (Germany), No 1156 (PDF; 292 kB) – Evaluierungsbericht in englischer und französischer Sprache, März 2004
↑ Beschluss zu Dresden. Deutsche UNESCO-Kommission, abgerufen am 27. März 2014. 
↑ Zur Beantragung des Welterbestatus. Landeshauptstadt Dresden, archiviert vom Original am 25. Januar 2010, abgerufen am 27. März 2014. 
↑ SPIEGEL ONLINE: Dresdner Elbtal wird offiziell Weltkulturerbe, 24. Juni 2005
↑ Deutsche UNESCO-Kommission: Pressemitteilung zur Eintragung auf der roten Liste, 11. Juli 2006
↑ Kunibert Wachten, Lehrstuhl und Institut für Städtebau und Landesplanung der RWTH Aachen: Die beiden Gutachten zu den visuellen Auswirkungen von Waldschlösschenbrücke und Mittelrheinbrücke"
"Rammelsberg","The Rammelsberg is a mountain, 635 metres (2,083 ft) high, on the northern edge of the Harz range, south of the historic town of Goslar in the North German state of Lower Saxony. The mountain is the location of an important ore mine, the only mine which had been working continuously for over 1,000 years when it finally closed in 1988. Since 1992, the visitor mine of Rammelsberg has become a UNESCO World heritage site.","Rammelsberg","Der Rammelsberg ist ein 635 m hoher Berg am Nordrand des Harzes im Landkreis Goslar, südlich der Stadt Goslar in Niedersachsen. In ihm befindet sich ein bekanntes Bergwerk. 1988 wurde nach über 1000 Jahren nahezu ununterbrochenen Bergbaus die Erzförderung eingestellt; seit 1992 gehört das Besucherbergwerk Rammelsberg zum UNESCO-Weltkulturerbe."
"Coq","In computer science, Coq is an interactive theorem prover. It allows the expression of mathematical assertions, mechanically checks proofs of these assertions, helps to find formal proofs, and extracts a certified program from the constructive proof of its formal specification. Coq works within the theory of the calculus of inductive constructions, a derivative of the calculus of constructions. Coq is not an automated theorem prover but includes automatic theorem proving tactics and various decision procedures.
The Association for Computing Machinery presented Coquand, Huet, Paulin-Mohring, Barras, Filliâtre, Herbelin, Murthy, Bertot, Castéran with the 2013 ACM Software System Award for Coq.","Coq (Software)","Coq ist ein Programm zum maschinengestützten Beweisen mathematischer Aussagen."
"New Garden, Potsdam","The New Garden (German: Neuer Garten) in Potsdam is a park of 102.5 hectares located southwest of Berlin, Germany, in northern Potsdam and bordering on the lakes Heiliger See and Jungfernsee.

Starting in 1787, Frederick William II of Prussia (1744-1797) arranged to have a new garden laid out on this site, and it came to be known by this rather prosaic name. The New Garden is one of the ensembles comprising the UNESCO World Heritage Site ""Palaces and Parks of Potsdam and Berlin,"" a status awarded in 1990.","Neuer Garten Potsdam","Der Neue Garten ist ein 102,5 ha großes Parkgelände, das im Norden Potsdams an den Heiligen See und den Jungfernsee grenzt. Friedrich Wilhelm II. ließ ab 1787 auf diesem Areal einen neuen Garten anlegen, daher der Name."
"Haskell (programming language)","Haskell /ˈhæskəl/ is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. It is named after logician Haskell Curry.","Haskell (Programmiersprache)","Haskell ist eine rein funktionale Programmiersprache, benannt nach dem US-amerikanischen Mathematiker Haskell Brooks Curry, dessen Arbeiten zur mathematischen Logik eine Grundlage funktionaler Programmiersprachen bilden. Haskell basiert auf dem Lambda-Kalkül, weshalb auch der griechische Buchstabe Lambda als Logo verwendet wird. Die wichtigste Implementierung ist der Glasgow Haskell Compiler (GHC)."
"Cologne Cathedral","Cologne Cathedral (German: Kölner Dom) (Latin: Ecclesia Cathedralis Sanctorum Petri et Mariae, officially Hohe Domkirche St. Petrus, English: High Cathedral of Saints Peter and Mary) is a Roman Catholic cathedral in Cologne, Germany. It is the seat of the Archbishop of Cologne and the administration of the Archdiocese of Cologne. It is a renowned monument of German Catholicism and Gothic architecture and is a World Heritage Site. It is Germany's most visited landmark, attracting an average of 20,000 people a day.
Construction of Cologne Cathedral commenced in 1248 and was halted in 1473, leaving it unfinished. Work restarted in the 19th century and was completed, to the original plan, in 1880. It is 144.5 metres (474 ft) long, 86.25 m (283.0 ft) wide and its towers are approximately 157 m (515 ft) tall. The cathedral is the largest Gothic church in Northern Europe and has the second-tallest spires (after Ulm Minster. See info-box below.) Its two huge spires give it the largest façade of any church in the world. The choir has the largest height to width ratio, 3.6:1, of any medieval church.
Cologne's medieval builders had planned a grand structure to house the reliquary of the Three Kings and fit its role as a place of worship for the Holy Roman Emperor. Despite having been left incomplete during the medieval period, Cologne Cathedral eventually became unified as ""a masterpiece of exceptional intrinsic value"" and ""a powerful testimony to the strength and persistence of Christian belief in medieval and modern Europe"".","Kölner Dom","Der Kölner Dom (offizieller Name Hohe Domkirche St. Petrus) ist eine römisch-katholische Kirche in Köln unter dem Patrozinium des Apostels Petrus. Die Kathedrale des Erzbistums Köln war bis Ende 2009 auch Pfarrkirche der Domgemeinde; seit 2010 ist sie von der Pfarrseelsorge exemt. Seit 1996 zählt der Kölner Dom zum UNESCO-Weltkulturerbe.
Der Kölner Dom ist mit 157,38 Metern Höhe nach dem Ulmer Münster das zweithöchste Kirchengebäude Europas sowie das dritthöchste der Welt. Die Kathedrale steht rund 250 Meter vom Rhein entfernt an der ehemaligen nördlichen römischen Stadtgrenze in direkter Nachbarschaft von Hauptbahnhof, Hohenzollernbrücke, Museum Ludwig und Römisch-Germanischem Museum. Sie ist auf dem Domhügel rund 17 m über dem Rhein von einer modernen Betonkonstruktion, der Domplatte, umgeben. Das Grundstück hat die Adresse Domkloster 4, 50667 Köln.
Der Kölner Dom zählt zu den weltweit größten Kathedralen im gotischen Baustil. Viele Kunsthistoriker sehen in ihm eine einmalige Harmonisierung sämtlicher Bauelemente und des Schmuckwerks im Stil der spätmittelalterlich-gotischen Architektur verwirklicht. Wichtig zum Verständnis ist die Tatsache, dass der Baubeginn des Kölner Doms zwar ins 13. Jahrhundert fällt (Gotik), der Dom aber erst im 19. Jahrhundert nach jahrhundertelangem Baustopp vollendet wurde (Neugotik). Die charakteristische Doppelturmfront ist somit weitgehend ein Werk des industrialisierten 19. Jahrhunderts, gleichwohl gestaltet nach den 1814 wieder aufgefundenen Plänen, die ein Abbild der vorgesehenen Westfassade zeigen. Die mittelalterliche Gotik hat nur zwei bedeutende Kirchtürme dieser durchbrochenen Bauart hervorgebracht: Straßburg und Freiburg. Alle anderen ähnlichen Türme wie beispielsweise in Ulm oder Regensburg sind Werke der Neugotik des 19. Jahrhunderts.
Die riesige Fläche der Westfassade mitsamt den beiden Türmen von über 7100 m² ist bis heute nirgendwo übertroffen worden. Von 1880 bis 1884 war der Kölner Dom das höchste Gebäude der Welt. Er ist zudem die meistbesuchte Sehenswürdigkeit Deutschlands: 2001 wurden fünf Millionen, seit 2004 jährlich sechs Millionen Besucher aus aller Welt gezählt, im Durchschnitt etwa 20.000 pro Tag. Im August 2005 besuchte Papst Benedikt XVI. anlässlich des Weltjugendtages 2005 den Dom. Daran erinnert die vom Kölner Bildhauer Heribert Calleen gestaltete bronzene Gedenktafel im Mittelschiff."
"Lorch, Hesse","Lorch am Rhein is a small town in the Rheingau-Taunus-Kreis in the Regierungsbezirk of Darmstadt in Hesse, Germany. It belongs to the Rhine Gorge World Heritage Site.","Lorch (Rheingau)","Lorch ist eine kleine Stadt im Rheingau im Rheingau-Taunus-Kreis in Hessen. Der Ort wird vom Weinbau und Tourismus geprägt. Er gehört zum Welterbe Oberes Mittelrheintal."
"Imperial Palace of Goslar","The Imperial Palace of Goslar (German: Kaiserpfalz Goslar) is a historical building complex at the foot of the Rammelsberg hill in the south of the town of Goslar north of the Harz mountains, central Germany. It covers an area of about 340 by 180 metres and stands. The palace grounds originally included the Kaiserhaus, the old collegiate church of St. Simon and St. Jude, the palace chapel of St. Ulrich and the Church of Our Lady (Liebfrauenkirche). The Kaiserhaus is the greatest, oldest and best-preserved secular building of the 11th century in Germany. It was a favourite imperial residence, especially for the Salian emperors. As early as the 11th century, the buildings of the imperial palace had already so impressed the chronicler Lambert of Hersfeld that he described it as the ""most famous residence in the empire"". Since 1992, the palace site, together with the Goslar's Old Town and the Rammelsberg has been a UNESCO world heritage site.","Kaiserpfalz Goslar","Die Kaiserpfalz Goslar umfasst ein Areal von etwa 340 mal 180 Metern, gelegen am Fuße des Rammelsbergs im Süden der Stadt Goslar, auf dem sich im Wesentlichen das Kaiserhaus, das ehemalige Kollegiatstift „St. Simon und Judas“, die Pfalzkapelle „St. Ulrich“ und die Liebfrauenkirche befinden, bzw. befanden. Das Kaiserhaus ist der größte, älteste und zugleich besterhaltene Profanbau des 11. Jahrhunderts in Deutschland. Er diente insbesondere den Salierkaisern als bevorzugte Aufenthaltsstätte. Das Gebäudeensemble der Kaiserpfalz hat bereits im 11. Jahrhundert derart beeindruckt, dass der Chronist Lampert von Hersfeld vom „berühmtesten Wohnsitz des Reiches“ spricht. Der Pfalzbezirk gehört seit 1992 gemeinsam mit der Goslarer Altstadt und dem Rammelsberg zum Weltkulturerbe der UNESCO."
"Speyer Cathedral","The Speyer Cathedral, officially the Imperial Cathedral Basilica of the Assumption and St Stephen, in Latin: Domus sanctae Mariae Spirae (German: Dom zu Unserer lieben Frau in Speyer) in Speyer, Germany, is the seat of the Roman Catholic Bishop of Speyer and is suffragan to the Archdiocese of Bamberg. The cathedral, which is dedicated to St. Mary, patron saint of Speyer (""Patrona Spirensis"") and St. Stephen is generally known as Kaiserdom zu Speyer (Imperial Cathedral of Speyer). Pope Pius XI raised Speyer Cathedral to the rank of a minor basilica of the Roman Catholic Church in 1925.
Begun in 1030 under Conrad II, with the east end and high vault of 1090-1103, the imposing triple-aisled vaulted basilica of red sandstone is the ""culmination of a design which was extremely influential in the subsequent development of Romanesque architecture during the 11th and 12th centuries"". As the burial site for Salian, Staufer and Habsburg emperors and kings the cathedral is regarded as a symbol of imperial power. With the Abbey of Cluny in ruins, it remains the largest Romanesque church. It is considered to be ""a turning point in European architecture"", one of the most important architectural monuments of its time and one of the finest Romanesque monuments.
In 1981, the cathedral was added to the UNESCO World Heritage List of culturally important sites as ""a major monument of Romanesque art in the German Empire"".","Speyerer Dom","Als Speyerer Dom wird der Kaiser- und Mariendom zu Speyer (offizielle Bezeichnung: Domkirche St. Maria und St. Stephan) bezeichnet. Er steht in der rheinland-pfälzischen Stadt Speyer und ist die Kathedralkirche der katholischen Diözese Speyer und Pfarrkirche der Dompfarrei. Nach der Zerstörung der Abtei Cluny ist er die größte erhaltene romanische Kirche der Welt. Er wurde 1925 von Papst Pius XI. in den Stand einer Basilica minor erhoben. Seit 1981 steht er auf der UNESCO-Liste des Weltkulturerbes, des Weiteren ist er ein geschütztes Kulturgut nach der Haager Konvention."
"Oz (programming language)","Oz is a multiparadigm programming language, developed in the Programming Systems Lab at Université catholique de Louvain, for programming language education. It has a canonical textbook: Concepts, Techniques, and Models of Computer Programming.
Oz was first designed by Gert Smolka and his students in 1991. In 1996 the development of Oz continued in cooperation with the research group of Seif Haridi and Peter Van Roy at the Swedish Institute of Computer Science. Since 1999, Oz has been continually developed by an international group, the Mozart Consortium, which originally consisted of Saarland University, the Swedish Institute of Computer Science, and the Université catholique de Louvain. In 2005, the responsibility for managing Mozart development was transferred to a core group, the Mozart Board, with the express purpose of opening Mozart development to a larger community.
The Mozart Programming System is the primary implementation of Oz. It is released with an open source license by the Mozart Consortium. Mozart has been ported to different flavors of Unix, FreeBSD, Linux, Microsoft Windows, and Mac OS X.
^ ""Mozart Oz License Info"". 2014-01-16. Retrieved 2014-01-16.","Oz (Programmiersprache)","Oz ist eine multiparadigmatische Programmiersprache, die mitunter deklarative, objektorientierte, parallele sowie constraint Programmierung vereint.
↑ mozart-oz.org"
"Eisleben","Eisleben is a town in Saxony-Anhalt, Germany. It is famous as the hometown of Martin Luther; hence, its official name is Lutherstadt Eisleben. As of 2005, Eisleben had a population of 24,552. It lies on the Halle–Kassel railway.
Eisleben is divided into old and new towns (Altstadt and Neustadt), the latter of which was created for Eisleben's miners in the 14th century.
Eisleben was the capital of the district of Mansfelder Land and is the seat of the Verwaltungsgemeinschaft (""collective municipality"") Lutherstadt Eisleben.","Lutherstadt Eisleben","Die Lutherstadt Eisleben ist die zweitgrößte Stadt im Landkreis Mansfeld-Südharz im östlichen Harzvorland, Sachsen-Anhalt. Bekannt ist sie als Geburts- und Sterbeort Martin Luthers. Zu Ehren des größten Sohnes der Stadt führt Eisleben seit 1946 den Beinamen „Lutherstadt“. Die Luthergedenkstätten in Eisleben und Wittenberg zählen seit 1996 zum UNESCO-Weltkulturerbe. Eisleben gehört dem Bund der Lutherstädte an. Die Lutherstätten in Eisleben und Wittenberg haben sich zusammen zur Stiftung Luthergedenkstätten in Sachsen-Anhalt vereint."
